,sepal_length,sepal_width,petal_length,petal_width,species,sepal_num
0,5.1,3.5,1.4,0.2,setosa,8.6
1,4.9,3.0,1.4,0.2,setosa,7.9
2,4.7,3.2,1.3,0.2,setosa,7.9
3,4.6,3.1,1.5,0.2,setosa,7.699999999999999
4,5.0,3.6,1.4,0.2,setosa,8.6
5,5.4,3.9,1.7,0.4,setosa,9.3
6,4.6,3.4,1.4,0.3,setosa,8.0
7,5.0,3.4,1.5,0.2,setosa,8.4
8,4.4,2.9,1.4,0.2,setosa,7.300000000000001
9,4.9,3.1,1.5,0.1,setosa,8.0
10,5.4,3.7,1.5,0.2,setosa,9.100000000000001
11,4.8,3.4,1.6,0.2,setosa,8.2
12,4.8,3.0,1.4,0.1,setosa,7.8
13,4.3,3.0,1.1,0.1,setosa,7.3
14,5.8,4.0,1.2,0.2,setosa,9.8
15,5.7,4.4,1.5,0.4,setosa,10.100000000000001
16,5.4,3.9,1.3,0.4,setosa,9.3
17,5.1,3.5,1.4,0.3,setosa,8.6
18,5.7,3.8,1.7,0.3,setosa,9.5
19,5.1,3.8,1.5,0.3,setosa,8.899999999999999
20,5.4,3.4,1.7,0.2,setosa,8.8
21,5.1,3.7,1.5,0.4,setosa,8.8
22,4.6,3.6,1.0,0.2,setosa,8.2
23,5.1,3.3,1.7,0.5,setosa,8.399999999999999
24,4.8,3.4,1.9,0.2,setosa,8.2
25,5.0,3.0,1.6,0.2,setosa,8.0
26,5.0,3.4,1.6,0.4,setosa,8.4
27,5.2,3.5,1.5,0.2,setosa,8.7
28,5.2,3.4,1.4,0.2,setosa,8.6
29,4.7,3.2,1.6,0.2,setosa,7.9
30,4.8,3.1,1.6,0.2,setosa,7.9
31,5.4,3.4,1.5,0.4,setosa,8.8
32,5.2,4.1,1.5,0.1,setosa,9.3
33,5.5,4.2,1.4,0.2,setosa,9.7
34,4.9,3.1,1.5,0.2,setosa,8.0
35,5.0,3.2,1.2,0.2,setosa,8.2
36,5.5,3.5,1.3,0.2,setosa,9.0
37,4.9,3.6,1.4,0.1,setosa,8.5
38,4.4,3.0,1.3,0.2,setosa,7.4
39,5.1,3.4,1.5,0.2,setosa,8.5
40,5.0,3.5,1.3,0.3,setosa,8.5
41,4.5,2.3,1.3,0.3,setosa,6.8
42,4.4,3.2,1.3,0.2,setosa,7.6000000000000005
43,5.0,3.5,1.6,0.6,setosa,8.5
44,5.1,3.8,1.9,0.4,setosa,8.899999999999999
45,4.8,3.0,1.4,0.3,setosa,7.8
46,5.1,3.8,1.6,0.2,setosa,8.899999999999999
47,4.6,3.2,1.4,0.2,setosa,7.8
48,5.3,3.7,1.5,0.2,setosa,9.0
49,5.0,3.3,1.4,0.2,setosa,8.3
50,7.0,3.2,4.7,1.4,versicolor,10.2
51,6.4,3.2,4.5,1.5,versicolor,9.600000000000001
52,6.9,3.1,4.9,1.5,versicolor,10.0
53,5.5,2.3,4.0,1.3,versicolor,7.8
54,6.5,2.8,4.6,1.5,versicolor,9.3
55,5.7,2.8,4.5,1.3,versicolor,8.5
56,6.3,3.3,4.7,1.6,versicolor,9.6
57,4.9,2.4,3.3,1.0,versicolor,7.300000000000001
58,6.6,2.9,4.6,1.3,versicolor,9.5
59,5.2,2.7,3.9,1.4,versicolor,7.9
60,5.0,2.0,3.5,1.0,versicolor,7.0
61,5.9,3.0,4.2,1.5,versicolor,8.9
62,6.0,2.2,4.0,1.0,versicolor,8.2
63,6.1,2.9,4.7,1.4,versicolor,9.0
64,5.6,2.9,3.6,1.3,versicolor,8.5
65,6.7,3.1,4.4,1.4,versicolor,9.8
66,5.6,3.0,4.5,1.5,versicolor,8.6
67,5.8,2.7,4.1,1.0,versicolor,8.5
68,6.2,2.2,4.5,1.5,versicolor,8.4
69,5.6,2.5,3.9,1.1,versicolor,8.1
70,5.9,3.2,4.8,1.8,versicolor,9.100000000000001
71,6.1,2.8,4.0,1.3,versicolor,8.899999999999999
72,6.3,2.5,4.9,1.5,versicolor,8.8
73,6.1,2.8,4.7,1.2,versicolor,8.899999999999999
74,6.4,2.9,4.3,1.3,versicolor,9.3
75,6.6,3.0,4.4,1.4,versicolor,9.6
76,6.8,2.8,4.8,1.4,versicolor,9.6
77,6.7,3.0,5.0,1.7,versicolor,9.7
78,6.0,2.9,4.5,1.5,versicolor,8.9
79,5.7,2.6,3.5,1.0,versicolor,8.3
80,5.5,2.4,3.8,1.1,versicolor,7.9
81,5.5,2.4,3.7,1.0,versicolor,7.9
82,5.8,2.7,3.9,1.2,versicolor,8.5
83,6.0,2.7,5.1,1.6,versicolor,8.7
84,5.4,3.0,4.5,1.5,versicolor,8.4
85,6.0,3.4,4.5,1.6,versicolor,9.4
86,6.7,3.1,4.7,1.5,versicolor,9.8
87,6.3,2.3,4.4,1.3,versicolor,8.6
88,5.6,3.0,4.1,1.3,versicolor,8.6
89,5.5,2.5,4.0,1.3,versicolor,8.0
90,5.5,2.6,4.4,1.2,versicolor,8.1
91,6.1,3.0,4.6,1.4,versicolor,9.1
92,5.8,2.6,4.0,1.2,versicolor,8.4
93,5.0,2.3,3.3,1.0,versicolor,7.3
94,5.6,2.7,4.2,1.3,versicolor,8.3
95,5.7,3.0,4.2,1.2,versicolor,8.7
96,5.7,2.9,4.2,1.3,versicolor,8.6
97,6.2,2.9,4.3,1.3,versicolor,9.1
98,5.1,2.5,3.0,1.1,versicolor,7.6
99,5.7,2.8,4.1,1.3,versicolor,8.5
100,6.3,3.3,6.0,2.5,virginica,9.6
101,5.8,2.7,5.1,1.9,virginica,8.5
102,7.1,3.0,5.9,2.1,virginica,10.1
103,6.3,2.9,5.6,1.8,virginica,9.2
104,6.5,3.0,5.8,2.2,virginica,9.5
105,7.6,3.0,6.6,2.1,virginica,10.6
106,4.9,2.5,4.5,1.7,virginica,7.4
107,7.3,2.9,6.3,1.8,virginica,10.2
108,6.7,2.5,5.8,1.8,virginica,9.2
109,7.2,3.6,6.1,2.5,virginica,10.8
110,6.5,3.2,5.1,2.0,virginica,9.7
111,6.4,2.7,5.3,1.9,virginica,9.100000000000001
112,6.8,3.0,5.5,2.1,virginica,9.8
113,5.7,2.5,5.0,2.0,virginica,8.2
114,5.8,2.8,5.1,2.4,virginica,8.6
115,6.4,3.2,5.3,2.3,virginica,9.600000000000001
116,6.5,3.0,5.5,1.8,virginica,9.5
117,7.7,3.8,6.7,2.2,virginica,11.5
118,7.7,2.6,6.9,2.3,virginica,10.3
119,6.0,2.2,5.0,1.5,virginica,8.2
120,6.9,3.2,5.7,2.3,virginica,10.100000000000001
121,5.6,2.8,4.9,2.0,virginica,8.399999999999999
122,7.7,2.8,6.7,2.0,virginica,10.5
123,6.3,2.7,4.9,1.8,virginica,9.0
124,6.7,3.3,5.7,2.1,virginica,10.0
125,7.2,3.2,6.0,1.8,virginica,10.4
126,6.2,2.8,4.8,1.8,virginica,9.0
127,6.1,3.0,4.9,1.8,virginica,9.1
128,6.4,2.8,5.6,2.1,virginica,9.2
129,7.2,3.0,5.8,1.6,virginica,10.2
130,7.4,2.8,6.1,1.9,virginica,10.2
131,7.9,3.8,6.4,2.0,virginica,11.7
132,6.4,2.8,5.6,2.2,virginica,9.2
133,6.3,2.8,5.1,1.5,virginica,9.1
134,6.1,2.6,5.6,1.4,virginica,8.7
135,7.7,3.0,6.1,2.3,virginica,10.7
136,6.3,3.4,5.6,2.4,virginica,9.7
137,6.4,3.1,5.5,1.8,virginica,9.5
138,6.0,3.0,4.8,1.8,virginica,9.0
139,6.9,3.1,5.4,2.1,virginica,10.0
140,6.7,3.1,5.6,2.4,virginica,9.8
141,6.9,3.1,5.1,2.3,virginica,10.0
142,5.8,2.7,5.1,1.9,virginica,8.5
143,6.8,3.2,5.9,2.3,virginica,10.0
144,6.7,3.3,5.7,2.5,virginica,10.0
145,6.7,3.0,5.2,2.3,virginica,9.7
146,6.3,2.5,5.0,1.9,virginica,8.8
147,6.5,3.0,5.2,2.0,virginica,9.5
148,6.2,3.4,5.4,2.3,virginica,9.6
149,5.9,3.0,5.1,1.8,virginica,8.9
